Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445038725667770132,0000056C,false,Rx,0,8,2A,88,02,00,00,00,28,0A,
18445038725667770516,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667770772,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725667771070,00000735,false,Rx,0,8,43,00,43,00,25,AB,A0,3D,
18445038725667771326,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725667771753,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725667773801,000005A1,false,Rx,0,8,2A,A2,AA,2A,A2,8A,82,A2,
18445038725667774270,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725667774612,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725667774996,00000563,false,Rx,0,8,00,20,80,A2,02,00,00,00,
18445038725667776745,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725667777300,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725667777598,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725667777897,00000388,false,Rx,0,8,02,02,00,00,00,00,00,02,
18445038725667778110,00000733,false,Rx,0,8,39,3A,39,3A,25,AB,A0,3B,
18445038725667779902,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667780116,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725667780372,0000075B,false,Rx,0,8,3C,00,3C,00,25,AB,A0,3C,
18445038725667780628,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667781310,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725667781737,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725667784212,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725667784468,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725667784980,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725667787241,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725667787497,0000029A,false,Rx,0,8,01,32,57,45,5A,43,30,36,
18445038725667789844,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667790526,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667790782,0000056A,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725667791081,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725667791294,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725667791721,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725667794238,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725667794622,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725667795006,0000038A,false,Rx,0,8,3F,3C,00,00,04,00,00,00,
18445038725667796713,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725667797225,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725667797481,00000566,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725667797779,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725667799870,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667800126,00000564,false,Rx,0,8,02,8A,AA,8A,A8,A0,AA,8A,
18445038725667800382,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725667800638,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667800851,00000424,false,Rx,0,8,04,75,04,1F,86,A9,02,00,
18445038725667801107,0000056B,false,Rx,0,8,AA,02,00,00,80,AA,01,00,
18445038725667801321,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725667801705,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
